
$ CUSTOMER	QUANTUM					
$ USER	garypeet					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	P/O: 146660					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	4084	2				
$ ITEM	9012	1				
$ ITEM	ASC13403	1				
$ ITEM	ASC13406	1				
$ ITEM	CDMT1BT	1				
$ ITEM	CMCD1840	1				
$ ITEM	HL00314652	1				
$ ITEM	HL00320369	1				
$ ITEM	HL00320520	1				
$ ITEM	HL00320586	1				
$ ITEM	K4257DVD	1				
$ ITEM	MSDVD537	1				
$ ITEM	MVD0477	1				
$ ITEM	QLDVD6239	1				
$ ITEM	QLDVD6359	1				
$ ITEM	QLDVD6636	1				
$ ITEM	RKP1807	1				
$ ITEM	RKP1807	1				
$ ITEM	TFHE9002	1				
$ ITEM	VESTA13024	1				
$ ITEM	XDVD4305	1				
$ ITEM	XTD446	1				
$ ITEM	XTD446	1				
$ ITEM	XTD825	1				
RAREWAVES	COLUMBIA HOUSE	1 APOLLO RISE	SOUTHWOOD BUSINESS PARK	FARNBOROUGH		GU14 0GT
