
$ CUSTOMER	POS1						
$ USER	stewartpositive						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	(no special instructions)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	TW003-16861773755NAS	25					
$ ITEM	TW003-3299039915523NAS	6					
$ ITEM	TW003-3299039916124NAS	4					
$ ITEM	TW003-3299039935026NAS	13					
$ ITEM	TW003-5036369804190NAS	14					
$ ITEM	TW003-5050467368620NAS	3					
$ ITEM	TW003-5050467756120NAS	25					
$ ITEM	TW003-5051011246128NAS	1					
$ ITEM	TW003-5051442253221NAS	18					
$ ITEM	TW003-5051442814521NAS	3					
$ ITEM	TW003-5051442817324NAS	19					
$ ITEM	TW003-5051865913825NAS	21					
$ ITEM	TW003-5051865961222NAS	28					
$ ITEM	TW003-54645172721NAS	1					
$ ITEM	TW003-602537023585NAS	40					
$ ITEM	TW003-603497034529NAS	1					
$ ITEM	TW003-617465171529NAS	10					
$ ITEM	TW003-617465650727NAS	10					
$ ITEM	TW003-617465800221NAS	5					
$ ITEM	TW003-731455438321NAS	6					
$ ITEM	TW003-75596271721NAS	1					
$ ITEM	TW003-75678897436NAS	64					
$ ITEM	TW003-825646370320NAS	1					
$ ITEM	TW003-828767743325NAS	16					
$ ITEM	TW003-85365017726NAS	2					
$ ITEM	TW003-8714221007459NAS	25					
$ ITEM	TW003-93624953616NAS	15					
$ ITEM	TW003-93624994299NAS	13					
$ ITEM	TW003-3299039935422NAS	11					
$ ITEM	TW003-731454436724NAS	2					
$ ITEM	TW003-93624979968NAS	25					
$ ITEM	TW003-825646354320NAS	24					
$ ITEM	TW003-16861773526NAS	18					
$ ITEM	TW003-93624988014NAS	1					
$ ITEM	TW003-5051865104926NAS	35					
$ ITEM	TW003-85365312029NAS	17					
$ ITEM	TW003-617465123627NAS	1					
$ ITEM	TW003-5051011473425NAS	11					
$ ITEM	TW003-81227828523NAS	14					
$ ITEM	TW003-5051275045925NAS	215					
$ ITEM	TW003-75678087127NAS	47					
$ ITEM	TW003-5051865470229NAS	5					
$ ITEM	TW003-5060305280137NAS	75					
$ ITEM	TW003-617465124426NAS	89					
Amazon.co.uk	FBA ORDER - DETAILS TO BE CONFIRMED	Do Not Send	Do Not Send	Do Not Send	Do Not Send	PE2 7BW	UK
