
$ CUSTOMER	QUANTUM						
$ USER	stewartquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	P/O Number: 4458572 (ANNE-MARIE CAREY - 01323 521555)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	KA8847DVD	1	Added item KA8847DVD to order contents list.				
$ ITEM	KA8851DVD	1	Added item KA8851DVD to order contents list.				
$ ITEM	KA8852DVD	1	Added item KA8852DVD to order contents list.				
$ ITEM	KA8848DVD	1	Added item KA8848DVD to order contents list.				
$ ITEM	KA8849DVD	1	Added item KA8849DVD to order contents list.				
$ ITEM	KA8850DVD	1	Added item KA8850DVD to order contents list.				
$ ITEM	ADVD003	1	Added item ADVD003 to order contents list.				
$ ITEM	751107	2	Added item 751107 to order contents list.				
$ ITEM	SVD106	1	Added item SVD106 to order contents list.				
$ ITEM	QLDVD6680	2	Added item QLDVD6680 to order contents list.				
$ ITEM	ADVD110	1	Added item ADVD110 to order contents list.				
$ ITEM	QLDVD6615	1	Added item QLDVD6615 to order contents list.				
$ ITEM	DT118	2	Added item DT118 to order contents list.				
$ ITEM	DT116	2	Added item DT116 to order contents list.				
$ ITEM	QLDVD0390	2	Added item QLDVD0390 to order contents list.				
$ ITEM	QLDVD6165	2	Added item QLDVD6165 to order contents list.				
$ ITEM	ADVD98	2	Added item ADVD98 to order contents list.				
$ ITEM	2348	2	Added item 2348 to order contents list.				
$ ITEM	TFF1571	1	Added item TFF1571 to order contents list.				
$ ITEM	72040	2	Added item 72040 to order contents list.				
$ ITEM	QLDVD6670	2	Added item QLDVD6670 to order contents list.				
$ ITEM	DUK0207	2	Added item DUK0207 to order contents list.				
$ ITEM	72037	2	Added item 72037 to order contents list.				
$ ITEM	QHVP1773	2	Added item QHVP1773 to order contents list.				
$ ITEM	72038	2	Added item 72038 to order contents list.				
$ ITEM	DUK0229	2	Added item DUK0229 to order contents list.				
$ ITEM	QLDVD6013	3	Added item QLDVD6013 to order contents list.				
$ ITEM	HL00642053	1	Added item HL00642053 to order contents list.				
$ ITEM	RL924	2	Added item RL924 to order contents list.				
$ ITEM	HL00314652	3	Added item HL00314652 to order contents list.				
$ ITEM	ADVD102	1	Added item ADVD102 to order contents list.				
$ ITEM	EACD1835	2	Added item EACD1835 to order contents list.				
$ ITEM	ADVD119	1	Added item ADVD119 to order contents list.				
$ ITEM	EACD1838	1	Added item EACD1838 to order contents list.				
Gardners Books	1 Whittle Drive	Willingdon Drove         		Eastbourne	East Sussex	BN23 6QH                 	UK
