
$ CUSTOMER	QUANTUM					
$ USER	garypeet					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	 REF: BM100082316					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	HL00641795	2				xx
$ ITEM	1720	1				
$ ITEM	7955	3				
$ ITEM	753979	1				
$ ITEM	DV11264	1				
$ ITEM	DV86931	1				
$ ITEM	GW989900	1				
$ ITEM	GW993	1				
$ ITEM	HL00320398	1				
$ ITEM	HL00320480	1				
$ ITEM	HL00320506	1				
$ ITEM	HL00320879	1				
$ ITEM	HOIME1609	2				
$ ITEM	HTD9775	1				
$ ITEM	K4025DVD	1				
$ ITEM	K4026DVD	1				
$ ITEM	MSD1233	1				
$ ITEM	MSDVD658	1				
$ ITEM	MSDVD666	1				
$ ITEM	QLDVD0253	1				
$ ITEM	QLDVD6495	2				
$ ITEM	QLDVD6599	2				
$ ITEM	QLDVD6683	2				
$ ITEM	QLDVD6737	1				
$ ITEM	QLDVD6878	1				
$ ITEM	QLDVD6880	1				
$ ITEM	RDR0185	1				
$ ITEM	RDR0193	1				
$ ITEM	RDR0205	1				
$ ITEM	RDR0210	1				
$ ITEM	RL947	1				
$ ITEM	RL982	1				
$ ITEM	VESTA13003	1				
$ ITEM	VESTAPOL13123	1				
MSE (SEND IT)	1 Eagle Park Drive			Warrington	Cheshire	WA2 8JA
