$ CUSTOMER	QUANTUM					
$ USER	rabeelquantum					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	4480190					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	ADVD003	1				
$ ITEM	JFCDVD03	1				
$ ITEM	MSDVD996	1				
$ ITEM	MSDVD593	1				
$ ITEM	ADVD171	2				
$ ITEM	ADVD110	1				
$ ITEM	QLDVD6627	1				
$ ITEM	ADVD226	2				
$ ITEM	TLP1514	1				
$ ITEM	DV01SM01	1				
$ ITEM	ADVD006	1				
$ ITEM	ADVD124	1				
$ ITEM	SEXD6487	1				
$ ITEM	JRDVD8001	1				
$ ITEM	20439	1				
$ ITEM	QLDVD7060	2				
$ ITEM	ADVD165	1				
$ ITEM	RDR0039	1				
$ ITEM	DUK1438	1				
$ ITEM	MSDVD655	1				
$ ITEM	ASC13409	1				
$ ITEM	QLDVD0340	1				
$ ITEM	JRDVD8016	1				
$ ITEM	QLDVD6359	2				
$ ITEM	DUK0229	2				
$ ITEM	ADVD122	1				
$ ITEM	QLDVD0373	1				
$ ITEM	QLDVD0342	1				
$ ITEM	ADVD020	1				
$ ITEM	PVP10394	1				
$ ITEM	RL913	1				
$ ITEM	RL902	2				
$ ITEM	8930	1				
$ ITEM	ADVD242	1				
$ ITEM	AVPM74	1				
$ ITEM	AG1649	1				
$ ITEM	CG1805	1				
$ ITEM	QLDVD6054	1				
$ ITEM	753948	1				
$ ITEM	SVD140	2				
$ ITEM	EACD1426	1				
$ ITEM	QLDVD6496	1				
$ ITEM	ADVD107	3				
$ ITEM	STDC1210	1				
$ ITEM	ADVD119	1				
$ ITEM	8933	1				
$ ITEM	QLDVD6913	1				
$ ITEM	MSDVD596	1				
$ ITEM	SVD138	1				
$ ITEM	ADVD179	1				
$ ITEM	QLDVD7046	1				
$ ITEM	MSDVD595	1				
$ ITEM	JFCDVD05	2				
$ ITEM	QLDVD7067	1				
$ ITEM	MSDVD532	1				
$ ITEM	CG1806	1				
$ ITEM	QLDVD7059	1				
$ ITEM	769100	1				
$ ITEM	748177	2				
$ ITEM	QLDVD6914	1				
Gardners Books	Goods In	1 Whittle Drive         	Willingdon Drove                   	Eastbourne	BN23 6QH                 	UK
