$ CUSTOMER	QUANTUM					
$ USER	rabeelquantum					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	BM100082672					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	5413	1				
$ ITEM	5989	1				
$ ITEM	ACE11056F	1				
$ ITEM	ADVD242	2				
$ ITEM	AV600061	2				
$ ITEM	BNTITV04	1				
$ ITEM	CS1719	1				
$ ITEM	DJ903	1				
$ ITEM	DR4315	1				
$ ITEM	DS91736	1				
$ ITEM	DS92085	3				
$ ITEM	DV10031	1				
$ ITEM	DV10241	1				
$ ITEM	DV11616	1				
$ ITEM	DWL1533	1				
$ ITEM	DWL1665	1				
$ ITEM	EACD1426	1				
$ ITEM	EACD1467	1				
$ ITEM	EWB1562	1				
$ ITEM	FR00998	1				
$ ITEM	GKF0002	1				
$ ITEM	GOLF1537	1				
$ ITEM	GW949	1				
$ ITEM	H361DVD	1				
$ ITEM	HL00320233	1				
$ ITEM	HL00320274	1				
$ ITEM	HL00320355	1				
$ ITEM	HL00320475	1				
$ ITEM	HL00320511	1				
$ ITEM	HL00320517	1				
$ ITEM	HL00320700	2				
$ ITEM	HL00641599	1				
$ ITEM	HL00695907	1				
$ ITEM	HL00695909	1				
$ ITEM	HL02500840	1				
$ ITEM	HL02501307	1				
$ ITEM	HOT100	1				
$ ITEM	HOT117	1				
$ ITEM	HOT144	1				
$ ITEM	HOT173	1				
$ ITEM	HOT224	1				
$ ITEM	HOT702	1				
$ ITEM	HOT709	1				
$ ITEM	HOT711	1				
$ ITEM	IMP908106	1				
$ ITEM	JFCDVD03	1				
$ ITEM	JFCDVD05	1				
$ ITEM	K4253DVD	1				
$ ITEM	K4461DVD	1				
$ ITEM	K4471DVD	1				
$ ITEM	K4473DVD	1				
$ ITEM	KV1568	1				
$ ITEM	M86540	1				
$ ITEM	MSD1282	1				
$ ITEM	MW001	1				
$ ITEM	MW011	1				
$ ITEM	OM30195	1				
$ ITEM	PC1635	1				
$ ITEM	PVP10394	1				
$ ITEM	PVP35091	4				
$ ITEM	QLDVD0246	1				
$ ITEM	QLDVD0263	1				
$ ITEM	QLDVD0290	1				
$ ITEM	QLDVD6215	1				
$ ITEM	QLDVD6236	1				
$ ITEM	QLDVD6628	1				
$ ITEM	QLDVD6636	1				
$ ITEM	QLDVD6712	1				
$ ITEM	QLDVD6774	1				
$ ITEM	QLDVD6847	1				
$ ITEM	QLDVD6878	2				
$ ITEM	QLDVD6880	1				
$ ITEM	QLDVD6912	1				
$ ITEM	QLDVD6970	1				
$ ITEM	QLDVD6972	1				
$ ITEM	R276DVD	1				
$ ITEM	RDR0003	1				
$ ITEM	RDR0166	1				
$ ITEM	STDC1128	1				
$ ITEM	STDC1173	1				
$ ITEM	SVD40	1				
$ ITEM	SVD5042	1				
$ ITEM	SVD5134	1				
$ ITEM	SVD54	1				
$ ITEM	SVD93	1				
$ ITEM	SVD98	1				
$ ITEM	VESTA13013	1				
M S E (send it)	Goods In	1 Eagle Park Drive		Warrington		WA2 8JA
