
$ CUSTOMER	QUANTUM						
$ USER	garypeet						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	P/O: 4464907						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	QLDVD17622	1					
$ ITEM	LSD04	3					
$ ITEM	ADVD003	1					
$ ITEM	BC2	3					
$ ITEM	BC7	3					
$ ITEM	QLDVD0289	3					
$ ITEM	20495	1					
$ ITEM	20497	1					
$ ITEM	748471	3					
$ ITEM	720325	3					
$ ITEM	GCT318	1					
$ ITEM	STDC1234	1					
$ ITEM	KA8409DVD	1					
$ ITEM	ADVD116	2					
$ ITEM	KA8764DVD	1					
$ ITEM	SD11	2					
$ ITEM	ADVD171	2					
$ ITEM	ADVD110	1					
$ ITEM	EBUGEI4	3					
$ ITEM	ADVD154	2					
$ ITEM	CAP3	3					
$ ITEM	CAP2	3					
$ ITEM	GP157	3					
$ ITEM	HSD008	2					
$ ITEM	KICK1559	2					
$ ITEM	DVD2869044	2					
$ ITEM	DW16713	3					
$ ITEM	HVCCM659	1					
$ ITEM	LSD10	1					
$ ITEM	7071	2					
$ ITEM	COMHTPP1	3					
$ ITEM	ERIK2	3					
$ ITEM	AIZIK2	3					
$ ITEM	AIZIK4	3					
$ ITEM	ADVD1876	1					
$ ITEM	ADVD1877	1					
$ ITEM	HOCH1	3					
$ ITEM	3911	3					
$ ITEM	FRANK1	3					
$ ITEM	781918	1					
$ ITEM	GCT708	3					
$ ITEM	ADVD070	1					
$ ITEM	GCT074	2					
$ ITEM	DVD950790	3					
$ ITEM	GURO	3					
$ ITEM	ADVD006	1					
$ ITEM	ADVD048	1					
$ ITEM	ADVD077	1					
$ ITEM	ADVD044	3					
$ ITEM	GW9667	1					
$ ITEM	M33120	3					
$ ITEM	QLDVD0293	5					
$ ITEM	GDVD9428	1					
$ ITEM	ADVD124	1					
$ ITEM	HVFF1639	1					
$ ITEM	NJPDVD625	1					
$ ITEM	HVGC1655	3					
$ ITEM	HVGC2656	2					
$ ITEM	JRDVD8017	1					
$ ITEM	HOCH2	3					
$ ITEM	751110	1					
$ ITEM	K4466DVD	2					
$ ITEM	K4467DVD	3					
$ ITEM	A7441DVD	1					
$ ITEM	HVIDM658	1					
$ ITEM	753979	1					
$ ITEM	FAR2	3					
$ ITEM	BC16	3					
$ ITEM	ADVD054	1					
$ ITEM	DAB5	3					
$ ITEM	ADVD165	1					
$ ITEM	ADVD001	1					
$ ITEM	2707	1					
$ ITEM	EFS1	3					
$ ITEM	FLORES1	3					
$ ITEM	GOULD1	3					
$ ITEM	GOULD2	3					
$ ITEM	GOULD3	3					
$ ITEM	FLORES2	3					
$ ITEM	GOULD4	3					
$ ITEM	46759	1					
$ ITEM	QLDVD7139	1					
$ ITEM	DUK0229	2					
$ ITEM	M85190	9					
$ ITEM	HL00642053	1					
$ ITEM	ADVD1884	1					
$ ITEM	GP138	1					
$ ITEM	PVP35091	3					
$ ITEM	ADVD122	1					
$ ITEM	CHINEN1	3					
$ ITEM	DVD2869045	4					
$ ITEM	TTR22	1					
$ ITEM	GOULD5	3					
$ ITEM	ADVD020	1					
$ ITEM	KA8747DVD	1					
$ ITEM	KA8744DVD	1					
$ ITEM	KA8741DVD	1					
$ ITEM	KA8752DVD	1					
$ ITEM	KA8750DVD	1					
$ ITEM	KA8748DVD	1					
$ ITEM	KA8746DVD	1					
$ ITEM	TL1683	1					
$ ITEM	HVPOF646	3					
$ ITEM	PVP10394	1					
$ ITEM	DEL1	3					
$ ITEM	GIL1	3					
$ ITEM	99000001	1					
$ ITEM	2325	3					
$ ITEM	HVTDS701	1					
$ ITEM	756024	2					
$ ITEM	MDV052	1					
$ ITEM	HSD011	1					
$ ITEM	5.03226E+12	2					
$ ITEM	ADVD177	1					
$ ITEM	SP2059	1					
$ ITEM	QLDVD6469	1					
$ ITEM	DW16705	2					
$ ITEM	QLDVD7099	2					
$ ITEM	CHIAO1	3					
$ ITEM	ADVD102	1					
$ ITEM	SVD5132	1					
$ ITEM	753948	1					
$ ITEM	PPD01	1					
$ ITEM	ADVD021	1					
$ ITEM	ADVD107	3					
$ ITEM	CMV7005	3					
$ ITEM	DAB4	3					
$ ITEM	DAB3	3					
$ ITEM	ADVD062	1					
$ ITEM	QLDVD6750	3					
$ ITEM	CONDE1	3					
$ ITEM	20379	2					
$ ITEM	20381	2					
$ ITEM	HPL1506	1					
$ ITEM	MSD1228	2					
$ ITEM	STDC1210	1					
$ ITEM	ADVD119	1					
$ ITEM	QLDVD7128	1					
$ ITEM	HVACTS696	1					
$ ITEM	ADVD074	1					
$ ITEM	PFD1538	1					
$ ITEM	XTD919	2					
$ ITEM	ADVD179	1					
$ ITEM	M213704	1					
$ ITEM	ADVD1885	2					
$ ITEM	769100	1					
$ ITEM	RL207	20					
Gardners Books	1 Whittle Drive	Willingdon Drove		Eastbourne	East Sussex	BN23 6QH	UK
