$ CUSTOMER	QUANTUM					
$ USER	rabeelquantum					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	P/O: 4497514					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	2059	1				
$ ITEM	4317	1				
$ ITEM	753979	1				
$ ITEM	ADVD086	1				
$ ITEM	ADVD260	1				
$ ITEM	BNTITV03	1				
$ ITEM	CG1802	2				
$ ITEM	DS91736	1				
$ ITEM	EBH1600	1				
$ ITEM	HTD9775	1				
$ ITEM	QLDVD0398	1				
$ ITEM	QLDVD6002	1				
$ ITEM	QLDVD6650	1				
$ ITEM	QLDVD6911	1				
$ ITEM	RDR0039	1				
$ ITEM	RL920	1				
$ ITEM	RL982	3				
$ ITEM	SD24	1				
$ ITEM	SVD122	1				
$ ITEM	SVD5140	1				
GARDNERS BOOKS	GOODS IN	1 WHITTLE DRIVE	WILLINGDON DROVE	EASTBOURNE	BN23 6QH	UK
