$ CUSTOMER	BVD						
$ USER	johnshore						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	DO NOT DISPATCH UNTIL CONFIRMED BY KYLA DOWNTON						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	AZCD36	10					
$ ITEM	DECULT16	10					
$ ITEM	DECULT11	10					
$ ITEM	DECULT20	10					
	2352032	10					
	7414682	10					
	1768516	10					
	9870767	10					
	6960112	10					
	2564693494	10					
	3950372	10					
	1746794	10					
	TMKCD068	10					
	CRIMCD214	10					
	TMI433	10					
	1725566	10					
	CRIMCD361	10					
	CRIMCD367	10					
	CRIMCD513	10					
	SSCD16	10					
	88697395242	10					
	CRIMCD393	10					
	4765717	10					
	BVENT0619	10					
	5229022	10					
	SSCD14	10					
	CRIMCD390	10					
	CRIMCD425	10					
	79301891232	10					
	82876608282	10					
	82876691852	10					
	SSCD006	10					
	82876581332	10					
	9849972	10					
	9821360	10					
	BVENT0644	10					
	BVENT0643	10					
	BVENT0639	10					
	PURE186CD	10					
	3810472	10					
	BOUL0320	10					
	1748541	10					
	CKCD04	10					
	703522	10					
	VVR1044182	10					
	CRIMPCD012	10					
	BVENT0633	10					
	BRASSIC32CD	10					
	BOUL0303	10					
	SD71252CD	10					
	CRIMPCD022	10					
	1761601	10					
	TEM224520	10					
	5075582	7					
	PARCD02	1					
	5367852	1					
	C4DVD10131	10					
	MDV966	10					
	CDR46633	10					
	BLVDD0466	10					
	FCE005	10					
	FMDV1110	10					
	VDI0054	100					
	AVEDD0535-H	10					
	5.06014E+12	10					
	BOUL0454	10					
	VDI0015	100					
	cdr48201	10					
	BLVDD0110	10					
	BVENT0127	10					
	INF120	10					
	BVENT0107	10					
	BVENT0210	10					
	BVENT0300	10					
	UW90187	10					
	UWI0054	10					
	AVEDD0561-h	10					
Arcade Games	24 High Street			Shanklin	Isle of Wight	PO37 6JY	UK
