
$ CUSTOMER	QUANTUM						
$ USER	stewartquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	P/O Number: 4459512 (VITALIJA GRUNDAITE - 01323 521555)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	KA8765DVD	1	Added item KA8765DVD to order contents list.				
$ ITEM	2706	1	Added item 2706 to order contents list.				
$ ITEM	QLDVD6055	2	Added item QLDVD6055 to order contents list.				
$ ITEM	XTD031	1	Added item XTD031 to order contents list.				
$ ITEM	2326	1	Added item 2326 to order contents list.				
$ ITEM	KG1171DVD	1	Added item KG1171DVD to order contents list.				
$ ITEM	KA8754DVD	1	Added item KA8754DVD to order contents list.				
$ ITEM	KA8753DVD	1	Added item KA8753DVD to order contents list.				
$ ITEM	KA8749DVD	1	Added item KA8749DVD to order contents list.				
$ ITEM	KA8742DVD	1	Added item KA8742DVD to order contents list.				
$ ITEM	KA8743DVD	1	Added item KA8743DVD to order contents list.				
$ ITEM	KA8752DVD	1	Added item KA8752DVD to order contents list.				
$ ITEM	KA8751DVD	1	Added item KA8751DVD to order contents list.				
$ ITEM	KA8761DVD	1	Added item KA8761DVD to order contents list.				
$ ITEM	KA8760DVD	1	Added item KA8760DVD to order contents list.				
$ ITEM	KA8759DVD	1	Added item KA8759DVD to order contents list.				
$ ITEM	KA8758DVD	1	Added item KA8758DVD to order contents list.				
$ ITEM	KA8756DVD	1	Added item KA8756DVD to order contents list.				
$ ITEM	KA8757DVD	1	Added item KA8757DVD to order contents list.				
$ ITEM	KA8762DVD	1	Added item KA8762DVD to order contents list.				
$ ITEM	KA8763DVD	1	Added item KA8763DVD to order contents list.				
$ ITEM	KA8745DVD	1	Added item KA8745DVD to order contents list.				
$ ITEM	KA8572DVD	1	Added item KA8572DVD to order contents list.				
$ ITEM	KA8568DVD	1	Added item KA8568DVD to order contents list.				
$ ITEM	KA8569DVD	1	Added item KA8569DVD to order contents list.				
$ ITEM	KA8570DVD	1	Added item KA8570DVD to order contents list.				
$ ITEM	QLDVD7018	3	Added item QLDVD7018 to order contents list.				
$ ITEM	TW08	2	Added item TW08 to order contents list.				
$ ITEM	UCPD0485	2	Added item UCPD0485 to order contents list.				
$ ITEM	2336	1	Added item 2336 to order contents list.				
$ ITEM	20379	2	Added item 20379 to order contents list.				
$ ITEM	20381	2	Added item 20381 to order contents list.				
$ ITEM	STDC1210	1	Added item STDC1210 to order contents list.				
$ ITEM	A7033DVD	1	Added item A7033DVD to order contents list.				
$ ITEM	RL946	5	Added item RL946 to order contents list.				
Gardners Books	Goods In Area	1 Whittle Drive	Willingdon Drove	Eastbourne	East Sussex	BN23 6QH                 	UK
