$ CUSTOMER	BOULEVARD						
$ USER	rabeelboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	FBA ID: FBABR278D						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	BVAR0594	500					
$ ITEM	INF460	200					
$ ITEM	REVD2840	100					
$ ITEM	REVD2792	75					
$ ITEM	BVAR0629	15					
$ ITEM	BVAR0612	50					
$ ITEM	BVAR0627	50					
$ ITEM	BVAR0406	50					
$ ITEM	BOUL0056	50					
$ ITEM	BVED0117	50					
$ ITEM	BOUL0883	25					
$ ITEM	REVD2622	25					
$ ITEM	UMDBV1046	12					
$ ITEM	BLVDD0093	25					
$ ITEM	REVB2676	25					
$ ITEM	BVENT0345	25					
$ ITEM	BVAR0618	25					
$ ITEM	BVENT0127	25					
$ ITEM	BLVDD0677	25					
$ ITEM	BVAR0540	25					
Amazon.co.uk	Boundary Way			Hemel Hempstead	Hertfordshire	HP2 7LF	UK
