
$ CUSTOMER	QUANTUM					
$ USER	garypeet					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	146854					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	2714	1				
$ ITEM	A7035DVD	1				
$ ITEM	A7038DVD	1				
$ ITEM	DRB1353	1				
$ ITEM	EACD1836	1				
$ ITEM	GKF0002	1				
$ ITEM	H617DVD	1				
$ ITEM	HL00314652	1				
$ ITEM	HL00314749	2				
$ ITEM	HL00320274	1				
$ ITEM	HL00320511	1				
$ ITEM	HL00641813	1				
$ ITEM	HOT180	1				
$ ITEM	JRCD7017	1				
$ ITEM	MSDVD593	1				
$ ITEM	MSDVD996	1				
$ ITEM	MVD5294D	1				
$ ITEM	QLDVD0387	1				
$ ITEM	QLDVD6497	1				
$ ITEM	RDR0080	1				
$ ITEM	RDR0115	1				
$ ITEM	TL1689	1				
$ ITEM	VESTAPOL13115	1				
$ ITEM	XTD031	1				
$ ITEM	Y380DVD	1				
$ ITEM	ZOM-079	1				
RAREWAVES	COLUMBIA HOUSE	1 APOLLO RISE	SOUTHWOOD BUSINESS PARK	FARNBOROUGH	HAMPSHIRE	GU14 0GT
