$ CUSTOMER	Boulevard						
$ USER	stewarto						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	DO NOT DISPATCH UNTIL CONFIRMED BY KYLA DOWNTON						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	AZCD36	10					
$ ITEM	DECULT16	10					
$ ITEM	DECULT11	10					
$ ITEM	DECULT20	10					
$ ITEM	2352032	10					
$ ITEM	7414682	10					
$ ITEM	1768516	10					
$ ITEM	9870767	10					
$ ITEM	6960112	10					
$ ITEM	2564693494	10					
$ ITEM	3950372	10					
$ ITEM	1746794	10					
$ ITEM	TMKCD068	10					
$ ITEM	CRIMCD214	10					
$ ITEM	TMI433	10					
$ ITEM	1725566	10					
$ ITEM	CRIMCD361	10					
$ ITEM	CRIMCD367	10					
$ ITEM	CRIMCD513	10					
$ ITEM	SSCD16	10					
$ ITEM	88697395242	10					
$ ITEM	CRIMCD393	10					
$ ITEM	4765717	10					
$ ITEM	BVENT0619	10					
$ ITEM	5229022	10					
$ ITEM	SSCD14	10					
$ ITEM	CRIMCD390	10					
$ ITEM	CRIMCD425	10					
$ ITEM	79301891232	10					
$ ITEM	82876608282	10					
$ ITEM	82876691852	10					
$ ITEM	SSCD006	10					
$ ITEM	82876581332	10					
$ ITEM	9849972	10					
$ ITEM	9821360	10					
$ ITEM	BVENT0644	10					
$ ITEM	BVENT0643	10					
$ ITEM	BVENT0639	10					
$ ITEM	PURE186CD	10					
$ ITEM	3810472	10					
$ ITEM	BOUL0320	10					
$ ITEM	1748541	10					
$ ITEM	CKCD04	10					
$ ITEM	703522	10					
$ ITEM	VVR1044182	10					
$ ITEM	CRIMPCD012	10					
$ ITEM	BVENT0633	10					
$ ITEM	BRASSIC32CD	10					
$ ITEM	BOUL0303	10					
$ ITEM	SD71252CD	10					
$ ITEM	CRIMPCD022	10					
$ ITEM	1761601	10					
$ ITEM	TEM224520	10					
$ ITEM	5075582	7					
$ ITEM	PARCD02	1					
$ ITEM	5367852	1					
$ ITEM	C4DVD10131	10					
$ ITEM	MDV966	10					
$ ITEM	CDR46633	10					
$ ITEM	BLVDD0466	10					
$ ITEM	FCE005	10					
$ ITEM	FMDV1110	10					
$ ITEM	VDI0054	100					
$ ITEM	AVEDD0535-H	10					
$ ITEM	5.06014E+12	10					
$ ITEM	BOUL0454	10					
$ ITEM	VDI0015	100					
$ ITEM	cdr48201	10					
$ ITEM	BLVDD0110	10					
$ ITEM	BVENT0127	10					
$ ITEM	INF120	10					
$ ITEM	BVENT0107	10					
$ ITEM	BVENT0210	10					
$ ITEM	BVENT0300	10					
$ ITEM	UW90187	10					
$ ITEM	UWI0054	10					
$ ITEM	AVEDD0561-h	10					
Arcade Games	24 High Street			Shanklin	Isle of Wight	PO37 6JY	UK
