$ CUSTOMER	QUANTUM					
$ USER	rabeelquantum					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	4473108					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	8930	1				
$ ITEM	8933	1				
$ ITEM	20439	1				
$ ITEM	792102	5				
$ ITEM	ADVD020	1				
$ ITEM	ADVD021	1				
$ ITEM	ADVD124	1				
$ ITEM	ADVD154	2				
$ ITEM	ADVD165	1				
$ ITEM	ADVD226	1				
$ ITEM	ADVD242	1				
$ ITEM	ASC13409	1				
$ ITEM	AVPM74	1				
$ ITEM	DUK0229	2				
$ ITEM	DUK0233	1				
$ ITEM	DUK0446	3				
$ ITEM	DV01SM01	1				
$ ITEM	EACD1427	3				
$ ITEM	EACD1529	1				
$ ITEM	ETV1671	1				
$ ITEM	FDVD2069	1				
$ ITEM	GP155	1				
$ ITEM	JFCDVD03	1				
$ ITEM	JRDVD8001	1				
$ ITEM	JRDVD8016	1				
$ ITEM	MSDVD596	1				
$ ITEM	MSDVD655	2				
$ ITEM	MSDVD996	1				
$ ITEM	MW004	1				
$ ITEM	QLDVD0331	2				
$ ITEM	QLDVD0331	3				
$ ITEM	QLDVD0340	1				
$ ITEM	QLDVD0342	1				
$ ITEM	QLDVD0373	1				
$ ITEM	QLDVD6054	1				
$ ITEM	QLDVD6250	1				
$ ITEM	QLDVD6359	2				
$ ITEM	QLDVD6496	1				
$ ITEM	QLDVD6627	1				
$ ITEM	QLDVD6913	1				
$ ITEM	QLDVD6967	1				
$ ITEM	QLDVD7099	2				
$ ITEM	RDR0039	1				
$ ITEM	RL211	10				
$ ITEM	RL913	1				
$ ITEM	RL944	10				
$ ITEM	SEXD6487	1				
$ ITEM	STDC1128	1				
$ ITEM	STDC1210	1				
$ ITEM	SY8807D	1				
$ ITEM	TE2183D	1				
$ ITEM	TLP1514	1				
$ ITEM	XTD461	2				
Gardners Books	1 WHITTLE DRIVE	EASTBOURNE		East Sussex		BN23 6QH                 
