$ CUSTOMER	QUANTUM					
$ USER	rabeelquantum					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1	4480190					
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS						
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	QLDVD17622	1				
$ ITEM	ADVD003	1				
$ ITEM	BC-2	3				
$ ITEM	BC-7	3				
$ ITEM	QLDVD0289	3				
$ ITEM	20495	1				
$ ITEM	20497	1				
$ ITEM	748471	3				
$ ITEM	720325	3				
$ ITEM	GCT318	1				
$ ITEM	JFCDVD03	1				
$ ITEM	STDC1234	1				
$ ITEM	KA8409DVD	1				
$ ITEM	ADVD116	2				
$ ITEM	MSDVD996	1				
$ ITEM	MSDVD593	1				
$ ITEM	ADVD171	2				
$ ITEM	ADVD110	1				
$ ITEM	QLDVD6627	1				
$ ITEM	ADVD154	2				
$ ITEM	ADVD226	2				
$ ITEM	CAP-3	3				
$ ITEM	CAP-2	3				
$ ITEM	KICK1559	2				
$ ITEM	DVD2869044	2				
$ ITEM	DW16713	3				
$ ITEM	HVCCM659	1				
$ ITEM	LSD10	1				
$ ITEM	7071	2				
$ ITEM	ERIK2	3				
$ ITEM	AIZIK2	3				
$ ITEM	AIZIK4	3				
$ ITEM	ADVD1876	1				
$ ITEM	ADVD1877	1				
$ ITEM	TLP1514	1				
$ ITEM	3911	3				
$ ITEM	SY8807D	1				
$ ITEM	ADVD070	1				
$ ITEM	GCT074	2				
$ ITEM	QLDVD6967	1				
$ ITEM	DUK0446	1				
$ ITEM	WILD4758	1				
$ ITEM	DVD950790	2				
$ ITEM	DV01SM01	1				
$ ITEM	TE2183D	1				
$ ITEM	ADVD006	1				
$ ITEM	ADVD048	1				
$ ITEM	ADVD077	1				
$ ITEM	ADVD044	3				
$ ITEM	GW9667	1				
$ ITEM	M33120	3				
$ ITEM	QLDVD0293	5				
$ ITEM	ADVD124	1				
$ ITEM	HVFF1639	1				
$ ITEM	SEXD6487	1				
$ ITEM	HVGC1655	3				
$ ITEM	HVGC2656	2				
$ ITEM	JRDVD8017	1				
$ ITEM	JRDVD8001	1				
$ ITEM	751110	1				
$ ITEM	K4466DVD	2				
$ ITEM	K4467DVD	3				
$ ITEM	20439	1				
$ ITEM	A7441DVD	1				
$ ITEM	HVIDM658	1				
$ ITEM	QLDVD7060	2				
$ ITEM	BC-16	1				
$ ITEM	ADVD054	1				
$ ITEM	ADVD165	1				
$ ITEM	ADVD001	1				
$ ITEM	FLORES1	3				
$ ITEM	RDR0039	1				
$ ITEM	DUK1438	1				
$ ITEM	QLDVD7139	1				
$ ITEM	MSDVD655	1				
$ ITEM	QLDVD6250	1				
$ ITEM	ASC13409	1				
$ ITEM	QLDVD0340	1				
$ ITEM	JRDVD8016	1				
$ ITEM	M87590	1				
$ ITEM	QLDVD6359	2				
$ ITEM	DUK0229	2				
$ ITEM	ADVD1884	1				
$ ITEM	DUK0233	1				
$ ITEM	ADVD122	1				
$ ITEM	QLDVD0373	1				
$ ITEM	QLDVD0342	1				
$ ITEM	CHINEN1	3				
$ ITEM	DVD2869045	4				
$ ITEM	TTR22	1				
$ ITEM	ADVD020	1				
$ ITEM	TL1683	1				
$ ITEM	HVPOF646	3				
$ ITEM	PVP10394	1				
$ ITEM	99000001	1				
$ ITEM	HVTDS701	1				
$ ITEM	MDV052	1				
$ ITEM	RL913	1				
$ ITEM	RL902	2				
$ ITEM	HSD011	1				
$ ITEM	8930	1				
$ ITEM	ADVD242	1				
$ ITEM	AVPM74	1				
$ ITEM	ADVD177	1				
$ ITEM	AG1649	1				
$ ITEM	SP2059	1				
$ ITEM	QLDVD6469	1				
$ ITEM	DW16705	2				
$ ITEM	CG1805	1				
$ ITEM	QLDVD7099	2				
$ ITEM	QLDVD6054	1				
$ ITEM	CHIAO1	3				
$ ITEM	792102	5				
$ ITEM	ADVD102	1				
$ ITEM	SVD5132	1				
$ ITEM	GP155	1				
$ ITEM	753948	1				
$ ITEM	SVD140	2				
$ ITEM	EACD1426	1				
$ ITEM	PPD01	1				
$ ITEM	ADVD021	1				
$ ITEM	QLDVD6496	1				
$ ITEM	ADVD107	3				
$ ITEM	CMV7005	3				
$ ITEM	ADVD062	1				
$ ITEM	QLDVD6750	3				
$ ITEM	HPL1506	1				
$ ITEM	MSD1228	2				
$ ITEM	STDC1210	1				
$ ITEM	ADVD119	1				
$ ITEM	8933	1				
$ ITEM	HVACTS696	1				
$ ITEM	QLDVD6913	1				
$ ITEM	ADVD074	1				
$ ITEM	MSDVD596	1				
$ ITEM	SVD138	1				
$ ITEM	XTD919	2				
$ ITEM	MW004	1				
$ ITEM	ADVD179	1				
$ ITEM	M213704	1				
$ ITEM	ADVD1885	2				
$ ITEM	QLDVD7046	1				
$ ITEM	FDVD2069	1				
$ ITEM	MSDVD595	1				
$ ITEM	JFCDVD05	2				
$ ITEM	HATSU1	3				
$ ITEM	HATSU2	3				
$ ITEM	QLDVD7067	1				
$ ITEM	MSDVD532	1				
$ ITEM	CG1806	1				
$ ITEM	FUSE2	3				
$ ITEM	QLDVD7059	1				
$ ITEM	769100	1				
$ ITEM	748177	2				
$ ITEM	QLDVD6914	1				
Gardners Books	Goods In	1 Whittle Drive         	Willingdon Drove                   	Eastbourne	BN23 6QH                 	UK
