
$ CUSTOMER	BOULEVARD						
$ USER	stewartboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	PO - BM100080043  //  Booking-In Required 24 hours in advance (07825 863954)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	BVENT0579	5					
$ ITEM	2564604902    	10					
$ ITEM	FCE005	10					
$ ITEM	CRIMPCD022	10					
$ ITEM	BVAR0523	15					
$ ITEM	CRIMCD465	15					
$ ITEM	BVAR0510	5					
$ ITEM	BVENT0684	5					
$ ITEM	VDI0054	10					
$ ITEM	BVAR0514	15					
$ ITEM	BVAR0518	5					
$ ITEM	BMOV0665	15					
$ ITEM	EDV9309	7					
$ ITEM	BVAR0605	5					
$ ITEM	BLVDD0746	10					
$ ITEM	BOUL0061	10					
$ ITEM	BOUL0064	15					
$ ITEM	CRIMPCD012	10					
$ ITEM	UMDBV1225	10					
$ ITEM	3950372    	10					
$ ITEM	THERB414	2					
$ ITEM	INF459	15					
$ ITEM	BVAR0617	10					
$ ITEM	BVAR0558	20					
$ ITEM	BLVDD0598	10					
$ ITEM	FMDV1148	10					
$ ITEM	UMDBV0603	10					
$ ITEM	CRIMCD425	10					
$ ITEM	STRAXDVD038	10					
$ ITEM	BVAR0590	20					
$ ITEM	CRIMCD06	20					
$ ITEM	BOUL0824	30					
$ ITEM	DV1185	10					
$ ITEM	BVAR0263	10					
$ ITEM	DECULT16	10					
$ ITEM	LTDMG015	15					
$ ITEM	5075582    	10					
$ ITEM	BLVDD0900	10					
$ ITEM	UMDBV0706	2					
$ ITEM	BVENT0349	20					
$ ITEM	INF231	10					
$ ITEM	3810472    	5					
$ ITEM	BLVDD0779	10					
$ ITEM	2352032    	10					
$ ITEM	DVDIV035	10					
$ ITEM	BLVDD0466	10					
$ ITEM	ILC3671	10					
$ ITEM	BVAR0612	5					
$ ITEM	DDS114	5					
$ ITEM	C4DVD10131	5					
$ ITEM	6960112    	5					
$ ITEM	PB003CD	15					
$ ITEM	9780954835880    	10					
$ ITEM	88697055422    	10					
$ ITEM	RTRADCD160	10					
$ ITEM	6862    	10					
$ ITEM	R206	8					
$ ITEM	9780954835804    	3					
$ ITEM	CRIMCD482	10					
$ ITEM	LDVD093	15					
$ ITEM	JW444	10					
$ ITEM	CRIMCD480	10					
$ ITEM	785512    	10					
$ ITEM	INF252	5					
$ ITEM	BVAR0609	5					
$ ITEM	BVAR0506	40					
$ ITEM	9876933    	10					
$ ITEM	SCE94CD	15					
$ ITEM	BVAR0559	10					
$ ITEM	STRAXDVD030	10					
$ ITEM	BVAR0606	40					
$ ITEM	BVAR0865	5					
$ ITEM	INF458	5					
$ ITEM	5046791822    	15					
$ ITEM	BVAR0627	20					
$ ITEM	BVAR0542	20					
$ ITEM	BVAR0406	20					
$ ITEM	BMOV0655	40					
$ ITEM	D024406	10					
$ ITEM	1768516    	5					
$ ITEM	COUNT003CD	5					
$ ITEM	TETRA004	5					
$ ITEM	BRASSIC32CD	15					
$ ITEM	BLVDD0427	5					
$ ITEM	DECULT04	10					
$ ITEM	BVAR0580	15					
$ ITEM	BLVDD0661	5					
$ ITEM	SLIM0660	30					
$ ITEM	LTDMG013	15					
$ ITEM	BOUL0122	40					
$ ITEM	VR241	15					
$ ITEM	MDV698	7					
$ ITEM	DVDIV085	15					
$ ITEM	ILC3649	15					
$ ITEM	BLVDD0699	15					
$ ITEM	BVAR0540	20					
Direct Offers	Goods-In Area	136 Edinburgh Avenue		Slough	Berkshire	SL1 4SS	UK
