
$ CUSTOMER	QUANTUM					
$ USER	garypeet					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	4470005					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	ACE11205	1				
$ ITEM	ADVD003	1				
$ ITEM	ADVD006	1				
$ ITEM	ADVD020	1				
$ ITEM	ADVD021	1				
$ ITEM	ADVD107	3				
$ ITEM	ADVD110	1				
$ ITEM	ADVD119	1				
$ ITEM	ADVD122	1				
$ ITEM	ADVD124	1				
$ ITEM	ADVD165	1				
$ ITEM	ADVD171	2				
$ ITEM	ADVD179	1				
$ ITEM	DUK0229	2				
$ ITEM	DUK0410	1				
$ ITEM	QLDVD6860	1				
$ ITEM	QLDVD7067	1				
$ ITEM	RL211	10				
GARDNERS BOOKS	1 WHITTLE DRIVE			EASTBOURNE	SUSSEX	BN23 6QH
