
$ CUSTOMER	QUANTUM						
$ USER	stewartquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	P/O Number: 4463577 (VITALIJA GRUNDAITE - 01323 521555)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	MSDVD572	1					
$ ITEM	QLDVD7122	1					
$ ITEM	SVD106	1					
$ ITEM	MSDVD593	1					
$ ITEM	SY8807D	1					
$ ITEM	QLDVD6967	1					
$ ITEM	RDR0039	1					
$ ITEM	CDMT5BT	1					
$ ITEM	COL922793VD	1					
$ ITEM	QLDVD7173	2					
$ ITEM	792102	5					
$ ITEM	EACD1786	3					
$ ITEM	ETV1671	1					
$ ITEM	FDVD2069	1					
$ ITEM	756040	10					
$ ITEM	MSD1223	1					
$ ITEM	CG1727	3					
$ ITEM	QLDVD6235	1					
$ ITEM	MSDVD658	1					
$ ITEM	QHVP1769	2					
$ ITEM	GP155	1					
$ ITEM	MSDVD666	1					
$ ITEM	RL209	10					
$ ITEM	RL946	5					
Gardners Books	1 Whittle Drive	Willingdon Drove         		Eastbourne	East Sussex	BN23 6QH                 	UK
