
$ CUSTOMER	QUANTUM					
$ USER	garypeet					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	BM100087147					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	1377	1				
$ ITEM	2308	1				
$ ITEM	2310	1				
$ ITEM	2325	1				
$ ITEM	2402	1				
$ ITEM	2422	1				
$ ITEM	3911	1				
$ ITEM	5413	1				
$ ITEM	8618	1				
$ ITEM	8623	1				
$ ITEM	8654	1				
$ ITEM	62073	1				
$ ITEM	62123	1				
$ ITEM	62383	1				
$ ITEM	62603	1				
$ ITEM	63083	1				
$ ITEM	63293	1				
$ ITEM	64114	1				
$ ITEM	64944	1				
$ ITEM	66443	1				
$ ITEM	67573	1				
$ ITEM	68283	1				
$ ITEM	68353	1				
$ ITEM	68553	1				
$ ITEM	82425	1				
$ ITEM	82426	1				
$ ITEM	82429	1				
$ ITEM	107455	1				
$ ITEM	107456	1				
$ ITEM	747885	8				
$ ITEM	756040	1				
$ ITEM	769100	3				
$ ITEM	786857	1				
$ ITEM	796134	1				
$ ITEM	796934	1				
$ ITEM	903369	1				
$ ITEM	903374	1				
$ ITEM	1961622	1				
$ ITEM	ACE11056F	1				
$ ITEM	AG9784	1				
$ ITEM	AGD1631	1				
$ ITEM	AUSTINGOHDV	1				
$ ITEM	B000124509	1				
$ ITEM	BNTITV04	1				
$ ITEM	BX790296VD	1				
$ ITEM	BX861896VD	1				
$ ITEM	COL910793VD	1				
$ ITEM	COL910893VD	1				
$ ITEM	COL921693VD	1				
$ ITEM	D1025	1				
$ ITEM	DDC1701	1				
$ ITEM	DE4019	1				
$ ITEM	DGS950319	1				
$ ITEM	DGS950323	1				
$ ITEM	DGS950353	1				
$ ITEM	DJ903	1				
$ ITEM	DNGDVD3	1				
$ ITEM	DR4315	1				
$ ITEM	DRB1334	1				
$ ITEM	DS91738	1				
$ ITEM	DT64799	1				
$ ITEM	DUK0220	1				
$ ITEM	DV01SI01	1				
$ ITEM	DV10241	1				
$ ITEM	DWL100277	1				
$ ITEM	DWL1533	1				
$ ITEM	DWL1665	1				
$ ITEM	EACD1467	1				
$ ITEM	ETV1671	1				
$ ITEM	ETV1734	1				
$ ITEM	EWB1562	1				
$ ITEM	FDVD2069	1				
$ ITEM	FFP1644	1				
$ ITEM	FR00917	1				
$ ITEM	FR00931	1				
$ ITEM	FR00932	1				
$ ITEM	FR00971	1				
$ ITEM	GOLF1537	1				
$ ITEM	GW313	1				
$ ITEM	GW504	1				
$ ITEM	GW505	1				
$ ITEM	GW506	1				
$ ITEM	GW605	1				
$ ITEM	GW811	1				
$ ITEM	GW812	1				
$ ITEM	GW908	1				
$ ITEM	GW937	1				
$ ITEM	GW949	1				
$ ITEM	GW971	1				
$ ITEM	GW972	1				
$ ITEM	H617DVD	1				
$ ITEM	HL0030489	1				
$ ITEM	HL00320230	1				
$ ITEM	HL00320293	1				
$ ITEM	HL00320355	1				
$ ITEM	HL00320374	1				
$ ITEM	HL00320415	1				
$ ITEM	HL00320431	1				
$ ITEM	HL00320464	1				
$ ITEM	HL00320511	1				
$ ITEM	HL00320515	1				
$ ITEM	HL00320537	1				
$ ITEM	HL00320593	1				
$ ITEM	HL00320687	1				
$ ITEM	HL00320708	3				
$ ITEM	HL00641536	1				
$ ITEM	HL00641538	1				
$ ITEM	HL00641546	1				
$ ITEM	HL00641551	1				
$ ITEM	HL00641555	1				
$ ITEM	HL00641558	1				
$ ITEM	HL00641578	1				
$ ITEM	HL00641611	1				
$ ITEM	HL00641615	1				
$ ITEM	HL00641617	1				
$ ITEM	HL00641678	1				
$ ITEM	HL00641726	1				
$ ITEM	HL00641747	1				
$ ITEM	HL00641761	1				
$ ITEM	HL00641763	1				
$ ITEM	HL00641779	1				
$ ITEM	HL00641819	1				
$ ITEM	HL00641844	1				
$ ITEM	HL00641851	1				
$ ITEM	HL00641852	1				
$ ITEM	HL00641882	1				
$ ITEM	HL00641886	1				
$ ITEM	HL00641887	1				
$ ITEM	HL00641895	1				
$ ITEM	HL00641928	1				
$ ITEM	HL00642064	1				
