$ CUSTOMER	BOULEVARD						
$ USER	rabeelboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	PO REFERENCE: 155232. PLEASE PICK, PACK AND DISPATCH THIS ORDER. PLEASE MAKE SURE THE PO REFERENCE IS CLEARLY MARKED ON THE PAPER WORK.						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	REVB2844	25					
$ ITEM	BVAR0605	25					
$ ITEM	5304542	25					
$ ITEM	BVAR0514	25					
$ ITEM	BOUL0070	25					
$ ITEM	BVAR0510	25					
$ ITEM	BLVDD0742	25					
$ ITEM	BVED0122	25					
$ ITEM	BLVDD0104	50					
$ ITEM	BVAR0559	25					
$ ITEM	SON014	23					
$ ITEM	bvar0560	25					
$ ITEM	RR004CD	15					
$ ITEM	REVB2940	25					
$ ITEM	BVAR0616	25					
$ ITEM	BVED0130	25					
$ ITEM	BOUL0067	25					
$ ITEM	CDGJEWEL019	25					
$ ITEM	570662	6					
$ ITEM	CRIMCD411	25					
$ ITEM	BMOV0666	25					
$ ITEM	CRIMCD29	25					
$ ITEM	REVB2742	25					
$ ITEM	BVAR0591	25					
$ ITEM	NSCD116	17					
$ ITEM	BAR025	25					
$ ITEM	INF020	25					
$ ITEM	BMOV0655	25					
$ ITEM	STRAXDVD043	2					
$ ITEM	CRIMCD513	25					
$ ITEM	BVENT0349	25					
$ ITEM	BLVDD0041	100					
$ ITEM	BVAR0506	25					
$ ITEM	5060130000000	14					
$ ITEM	BVAR0625	25					
$ ITEM	AZCD34	16					
$ ITEM	RISINGCD033	13					
$ ITEM	BVAR0545	25					
$ ITEM	BVAR0592	25					
$ ITEM	BVAR0603	25					
$ ITEM	BLVDD0598	25					
$ ITEM	REVD2622	25					
$ ITEM	ISOM40CDX	10					
$ ITEM	DRG19017	23					
$ ITEM	BMOV0665	25					
$ ITEM	NELD240	1					
$ ITEM	BVAR0615	25					
$ ITEM	SD71252CD	25					
$ ITEM	BVAR0613	25					
$ ITEM	JRCD717792PMI	25					
$ ITEM	BVAR0540	25					
$ ITEM	9849051	24					
$ ITEM	BVED0098	25					
$ ITEM	REVD2920	25					
$ ITEM	BMOV0664	25					
$ ITEM	BVAR0627	25					
$ ITEM	WNRD2277	12					
$ ITEM	3898712	13					
$ ITEM	INF459	25					
$ ITEM	BOUL0122	25					
$ ITEM	BOUL0824	25					
$ ITEM	BVAR0626	25					
$ ITEM	REVD2792	25					
$ ITEM	REVB2676	25					
$ ITEM	BVENT0848	23					
$ ITEM	BVENT0216	25					
$ ITEM	INF252	25					
$ ITEM	BVAR0518	25					
$ ITEM	BOUL0995	25					
$ ITEM	WNRD7021	25					
$ ITEM	VVR1023562	25					
$ ITEM	BVAR0722	21					
$ ITEM	GUDVD6594	25					
$ ITEM	BVAR0580	25					
$ ITEM	BLVDD0657	25					
$ ITEM	STRAXDVD008	18					
$ ITEM	BVAR0601	100					
$ ITEM	BVAR0802	25					
$ ITEM	BVAR0140	25					
$ ITEM	CRIMPCD013	25					
$ ITEM	BVAR0589	25					
$ ITEM	BVAR0628	25					
$ ITEM	REVB2890	25					
$ ITEM	BOUL0056	25					
$ ITEM	REVD2950	25					
$ ITEM	BOUL0071	25					
$ ITEM	9780954835880	25					
$ ITEM	REVD2756	25					
$ ITEM	BOUL0099	25					
$ ITEM	BLVDD0047	100					
$ ITEM	BVAR0406	25					
$ ITEM	701112	7					
$ ITEM	INF460	25					
$ ITEM	REVB2956	25					
Data Select	136 Edinburgh Avenue			Slough		SL1 4SS	UK
customer	Add-1	Add-2	Add-3	Town	County	Postcode	Country
