
$ CUSTOMER	QUANTUM						
$ USER	stewartquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	Booking-In Required 24 hours in advance (07825 863954)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	GW960	1					
$ ITEM	2353	2					
$ ITEM	SD17	1					
$ ITEM	DAVID0127	2					
$ ITEM	IMPH0338	1					
$ ITEM	DV10142	5					
$ ITEM	DUK0233	2					
$ ITEM	LSD418	1					
$ ITEM	TANRVDVD038	1					
$ ITEM	FDVD2028	2					
$ ITEM	QLDVD6841	2					
$ ITEM	HL00320479	1					
$ ITEM	IMP907129	1					
$ ITEM	MP42088	1					
$ ITEM	SD26	1					
$ ITEM	SD5001	2					
$ ITEM	SVD5102	1					
$ ITEM	SFD55	1					
$ ITEM	RDR0044	1					
$ ITEM	STDC1111	1					
$ ITEM	DGS950323	1					
$ ITEM	RGPDVD1	1					
$ ITEM	QLDVD6428	1					
$ ITEM	HL00320420	1					
$ ITEM	GRV10507	1					
$ ITEM	EACD1427	2					
$ ITEM	DGS950321	1					
$ ITEM	IMPH0435	1					
$ ITEM	LSD11	1					
$ ITEM	IMP908073	1					
$ ITEM	SD42	1					
$ ITEM	HL00641804	1					
$ ITEM	SVD5054	1					
$ ITEM	QLD0066	1					
$ ITEM	TAVDVD1002	1					
$ ITEM	HL00642084	1					
$ ITEM	LSD19	2					
$ ITEM	HL00320705	1					
$ ITEM	TW02	1					
$ ITEM	TAFOODVD034	1					
$ ITEM	DGS950353	1					
$ ITEM	RDR0050	1					
$ ITEM	FDVD2022	2					
$ ITEM	RDR0031	1					
$ ITEM	TADVD028	1					
$ ITEM	QLDVD0362	1					
$ ITEM	Y380DVD	1					
$ ITEM	DE4780	1					
$ ITEM	K1512	1					
$ ITEM	LLDDSF	1					
$ ITEM	QLDVD6645	1					
$ ITEM	K1595	1					
$ ITEM	D201	1					
$ ITEM	SG004	1					
$ ITEM	LLDDV2	1					
$ ITEM	SD35	1					
$ ITEM	SD44	1					
$ ITEM	MDV052	3					
$ ITEM	IMPH0355	3					
$ ITEM	MSD1228	3					
$ ITEM	QLDVD6724	2					
$ ITEM	HL00320419	1					
$ ITEM	QLDVD6997	1					
$ ITEM	BOE7277	1					
$ ITEM	TTR43	1					
$ ITEM	SD25	1					
$ ITEM	MC6307	2					
$ ITEM	FT9753	1					
$ ITEM	SD43	1					
$ ITEM	MW004	1					
$ ITEM	N5045DVD	1					
$ ITEM	AUG0051D	1					
$ ITEM	QLDVD6485	2					
$ ITEM	K1548	1					
$ ITEM	F471DVD	1					
$ ITEM	DT16044	1					
$ ITEM	Y381DVD	1					
$ ITEM	HL00642051	1					
$ ITEM	JB784127	1					
$ ITEM	QLDVD0310	2					
$ ITEM	BW011	1					
$ ITEM	VESTA13049	3					
$ ITEM	FDVD2059	1					
$ ITEM	RRDRKDVD01	1					
$ ITEM	RRMCDVD3	1					
$ ITEM	ACVD016	1					
$ ITEM	SD18	1					
$ ITEM	DE4080	1					
$ ITEM	PBD11	1					
$ ITEM	WTT55627	1					
$ ITEM	QLDVD0309	1					
$ ITEM	RRSVADVD01	1					
$ ITEM	DR6999	1					
$ ITEM	KRV125	1					
$ ITEM	107450	1					
$ ITEM	IMPH0431	1					
$ ITEM	IMPH0432	1					
$ ITEM	DD1485	1					
$ ITEM	SD15	1					
$ ITEM	SMARTDVD2	1					
$ ITEM	SMARTDVD6	3					
$ ITEM	SMARTDVD7	1					
$ ITEM	SMARTDVD9	1					
$ ITEM	SMARTDVD41	1					
$ ITEM	NAN06	2					
$ ITEM	ANA50480	1					
$ ITEM	DVD8516	1					
$ ITEM	DUK0065	1					
$ ITEM	DUK0123	1					
$ ITEM	IX1209GMUKD	1					
$ ITEM	IX1311TTUKD	1					
$ ITEM	CC110	1					
$ ITEM	MHC20009	3					
$ ITEM	ACE11028A	1					
$ ITEM	DAVID0181	2					
$ ITEM	HL00320538	1					
$ ITEM	HL00320594	1					
$ ITEM	DE7562	2					
$ ITEM	HL00320804	1					
$ ITEM	VESTAPOL13124	1					
$ ITEM	RDR0301	1					
$ ITEM	HL00321279	1					
$ ITEM	SVD140	3					
$ ITEM	RDR0357	1					
$ ITEM	RDR0362	1					
$ ITEM	STDC1166	1					
$ ITEM	HL00320603	1					
$ ITEM	ADVD062	1					
MSE UK	Goods-In Area	1 Eagle Park Drive		Warrington		WA2 8JA	UK
