
$ CUSTOMER	QUANTUM					
$ USER	garypeet					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	4470005					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	3911	3				
$ ITEM	7071	2				
$ ITEM	20495	1				
$ ITEM	20497	1				
$ ITEM	46759	1				
$ ITEM	720325	3				
$ ITEM	748471	3				
$ ITEM	751110	1				
$ ITEM	753948	1				
$ ITEM	753979	1				
$ ITEM	756024	2				
$ ITEM	781918	1				
$ ITEM	99000001	1				
$ ITEM	A7441DVD	1				
$ ITEM	ACE11205	1				
$ ITEM	ADVD001	1				
$ ITEM	ADVD003	1				
$ ITEM	ADVD006	1				
$ ITEM	ADVD020	1				
$ ITEM	ADVD021	1				
$ ITEM	ADVD044	3				
$ ITEM	ADVD048	1				
$ ITEM	ADVD054	1				
$ ITEM	ADVD062	1				
$ ITEM	ADVD070	1				
$ ITEM	ADVD074	1				
$ ITEM	ADVD077	1				
$ ITEM	ADVD102	1				
$ ITEM	ADVD107	3				
$ ITEM	ADVD110	1				
$ ITEM	ADVD116	2				
$ ITEM	ADVD119	1				
$ ITEM	ADVD122	1				
$ ITEM	ADVD124	1				
$ ITEM	ADVD154	2				
$ ITEM	ADVD165	1				
$ ITEM	ADVD171	2				
$ ITEM	ADVD177	1				
$ ITEM	ADVD179	1				
$ ITEM	ADVD1876	1				
$ ITEM	ADVD1877	1				
$ ITEM	ADVD1884	1				
$ ITEM	ADVD1885	2				
$ ITEM	AIZIK2	3				
$ ITEM	AIZIK4	3				
$ ITEM	BC16	1				
$ ITEM	BC2	3				
$ ITEM	BC7	3				
$ ITEM	CAP2	3				
$ ITEM	CAP3	3				
$ ITEM	CHIAO1	3				
$ ITEM	CHINEN1	3				
$ ITEM	CMV7005	3				
$ ITEM	COMHTPP1	3				
$ ITEM	DAB5	3				
$ ITEM	DUK0229	2				
$ ITEM	DUK0410	1				
$ ITEM	DVD2869044	2				
$ ITEM	DVD2869045	4				
$ ITEM	DVD950790	2				
$ ITEM	DW16705	2				
$ ITEM	DW16713	3				
$ ITEM	ERIK2	3				
$ ITEM	FAR2	3				
$ ITEM	FLORES1	3				
$ ITEM	GCT074	2				
$ ITEM	GCT318	1				
$ ITEM	GCT708	3				
$ ITEM	GOULD1	3				
$ ITEM	GURO	3				
$ ITEM	GW9667	1				
$ ITEM	HOCH1	3				
$ ITEM	HPL1506	1				
$ ITEM	HSD011	1				
$ ITEM	HVACTS696	1				
$ ITEM	HVCCM659	1				
$ ITEM	HVFF1639	1				
$ ITEM	HVGC1655	3				
$ ITEM	HVGC2656	2				
$ ITEM	HVIDM658	1				
$ ITEM	HVPOF646	3				
$ ITEM	HVTDS701	1				
$ ITEM	JRDVD8017	1				
$ ITEM	K4466DVD	2				
$ ITEM	K4467DVD	3				
$ ITEM	KA8409DVD	1				
$ ITEM	KICK1559	2				
$ ITEM	LSD04	3				
$ ITEM	LSD10	1				
$ ITEM	M213704	1				
$ ITEM	M33120	3				
$ ITEM	M85190	9				
$ ITEM	M87590	1				
$ ITEM	MDV052	1				
$ ITEM	MSD1228	2				
$ ITEM	NJPDVD625	1				
$ ITEM	PPD01	1				
$ ITEM	QLDVD0289	3				
$ ITEM	QLDVD0293	5				
$ ITEM	QLDVD17622	1				
$ ITEM	QLDVD6469	1				
$ ITEM	QLDVD6750	3				
$ ITEM	QLDVD6860	1				
$ ITEM	QLDVD7067	1				
$ ITEM	QLDVD7139	1				
$ ITEM	RL211	10				
$ ITEM	SD11	2				
$ ITEM	SP2059	1				
$ ITEM	STDC1234	1				
$ ITEM	SVD5132	1				
$ ITEM	TL1683	1				
$ ITEM	TTR22	1				
$ ITEM	WILD4758	1				
$ ITEM	XTD919	2				
GARDNERS BOOKS	1 WHITTLE DRIVE			EASTBOURNE	SUSSEX	BN23 6QH
